Age,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
30,Egypt,A,DF,Ahmed Elmohamady,09-09-87,76,2,England Aston Villa
33,Egypt,A,DF,Ahmed Fathy,10-11-84,124,3,Egypt Al Ahly
27,Egypt,A,DF,Ahmed Hegazi,25-01-91,43,1,England West Bromwich Albion
24,Egypt,A,DF,Ali Gabr,28-07-93,20,1,England West Bromwich Albion
27,Egypt,A,DF,Ayman Ashraf,09-04-91,4,0,Egypt Al Ahly
23,Egypt,A,DF,Mahmoud Hamdy,01-06-95,0,0,Egypt Zamalek
32,Egypt,A,DF,Mohamed Abdel-Shafy,01-07-85,49,1,Saudi Arabia Al Fateh
26,Egypt,A,DF,Omar Gaber,30-01-92,23,0,United States Los Angeles FC
29,Egypt,A,DF,Saad Samir,01-04-89,10,0,Egypt Al Ahly
29,Egypt,A,FW,Marwan Mohsen,26-02-89,22,4,Egypt Al Ahly
25,Egypt,A,FW,Mohamed Salah,15-06-92,57,33,England Liverpool
45,Egypt,A,GK,Essam El-Hadary (captain),15-01-73,156,0,Saudi Arabia Al Taawoun
29,Egypt,A,GK,Mohamed El-Shenawy,18-12-88,1,0,Egypt Al Ahly
34,Egypt,A,GK,Sherif Ekramy,01-07-83,22,0,Egypt Al Ahly
32,Egypt,A,MF,Abdallah Said,13-07-85,34,6,Finland KuPS
24,Egypt,A,MF,Amr Warda,13-09-93,14,0,Greece Atromitos
24,Egypt,A,MF,Kahraba,13-04-94,17,3,Saudi Arabia Al Ittihad
25,Egypt,A,MF,Mohamed Elneny,11-07-92,60,5,England Arsenal
21,Egypt,A,MF,Ramadan Sobhi,23-01-97,21,1,England Stoke City
26,Egypt,A,MF,Sam Morsy,10-09-91,3,0,England Wigan Athletic
32,Egypt,A,MF,Shikabala,05-03-86,28,2,Saudi Arabia Al Raed
29,Egypt,A,MF,Tarek Hamed,24-10-88,19,0,Egypt Zamalek
23,Egypt,A,MF,Trézéguet,01-10-94,23,2,Turkey Kas?mpa?a
29,Russia,A,DF,Andrei Semyonov,24-03-89,6,0,Russia Akhmat Grozny
31,Russia,A,DF,Fyodor Kudryashov,05-04-87,17,0,Russia Rubin Kazan
29,Russia,A,DF,Igor Smolnikov,08-08-88,25,0,Russia Zenit Saint Petersburg
24,Russia,A,DF,Ilya Kutepov,29-07-93,6,0,Russia Spartak Moscow
27,Russia,A,DF,Mário Fernandes,19-09-90,3,0,Russia CSKA Moscow
38,Russia,A,DF,Sergei Ignashevich,14-07-79,120,8,Russia CSKA Moscow
31,Russia,A,DF,Vladimir Granat,22-05-87,11,1,Russia Rubin Kazan
22,Russia,A,FW,Aleksei Miranchuk,17-10-95,16,4,Russia Lokomotiv Moscow
29,Russia,A,FW,Artem Dzyuba,22-08-88,22,11,Russia Arsenal Tula
28,Russia,A,FW,Fyodor Smolov,05-02-90,30,12,Russia Krasnodar
